index,Budget,Channel,Predicted Revenue,Region,Brand,Channel Group
334,3350000,Facebook,67098.85865224236,Mexico,Nesquik,Social
335,3360000,Facebook,67099.27683652838,Mexico,Nesquik,Social
336,3370000,Facebook,67099.6848206257,Mexico,Nesquik,Social
337,3380000,Facebook,67100.08285333334,Mexico,Nesquik,Social
338,3390000,Facebook,67100.47117738177,Mexico,Nesquik,Social
339,3400000,Facebook,67100.8500295808,Mexico,Nesquik,Social
340,3410000,Facebook,67101.21964096413,Mexico,Nesquik,Social
341,3420000,Facebook,67101.58023693012,Mexico,Nesquik,Social
342,3430000,Facebook,67101.93203737935,Mexico,Nesquik,Social
343,3440000,Facebook,67102.27525684863,Mexico,Nesquik,Social
344,3450000,Facebook,67102.61010464192,Mexico,Nesquik,Social
345,3460000,Facebook,67102.93678495786,Mexico,Nesquik,Social
346,3470000,Facebook,67103.25549701441,Mexico,Nesquik,Social
347,3480000,Facebook,67103.56643517023,Mexico,Nesquik,Social
348,3490000,Facebook,67103.86978904331,Mexico,Nesquik,Social
349,3500000,Facebook,67104.16574362652,Mexico,Nesquik,Social
350,3510000,Facebook,67104.45447940048,Mexico,Nesquik,Social
351,3520000,Facebook,67104.73617244356,Mexico,Nesquik,Social
352,3530000,Facebook,67105.01099453933,Mexico,Nesquik,Social
353,3540000,Facebook,67105.27911328127,Mexico,Nesquik,Social
354,3550000,Facebook,67105.54069217498,Mexico,Nesquik,Social
355,3560000,Facebook,67105.79589073789,Mexico,Nesquik,Social
356,3570000,Facebook,67106.04486459657,Mexico,Nesquik,Social
357,3580000,Facebook,67106.28776558155,Mexico,Nesquik,Social
358,3590000,Facebook,67106.52474182006,Mexico,Nesquik,Social
359,3600000,Facebook,67106.75593782618,Mexico,Nesquik,Social
360,3610000,Facebook,67106.9814945891,Mexico,Nesquik,Social
361,3620000,Facebook,67107.20154965905,Mexico,Nesquik,Social
362,3630000,Facebook,67107.4162372312,Mexico,Nesquik,Social
363,3640000,Facebook,67107.62568822746,Mexico,Nesquik,Social
364,3650000,Facebook,67107.83003037635,Mexico,Nesquik,Social
365,3660000,Facebook,67108.0293882909,Mexico,Nesquik,Social
366,3670000,Facebook,67108.22388354463,Mexico,Nesquik,Social
367,3680000,Facebook,67108.41363474565,Mexico,Nesquik,Social
368,3690000,Facebook,67108.59875760907,Mexico,Nesquik,Social
369,3700000,Facebook,67108.7793650275,Mexico,Nesquik,Social
370,3710000,Facebook,67108.9555671399,Mexico,Nesquik,Social
371,3720000,Facebook,67109.12747139882,Mexico,Nesquik,Social
372,3730000,Facebook,67109.2951826358,Mexico,Nesquik,Social
373,3740000,Facebook,67109.45880312544,Mexico,Nesquik,Social
374,3750000,Facebook,67109.6184326476,Mexico,Nesquik,Social
375,3760000,Facebook,67109.77416854848,Mexico,Nesquik,Social
376,3770000,Facebook,67109.92610579974,Mexico,Nesquik,Social
377,3780000,Facebook,67110.07433705656,Mexico,Nesquik,Social
378,3790000,Facebook,67110.21895271413,Mexico,Nesquik,Social
379,3800000,Facebook,67110.36004096275,Mexico,Nesquik,Social
380,3810000,Facebook,67110.49768784159,Mexico,Nesquik,Social
381,3820000,Facebook,67110.63197729122,Mexico,Nesquik,Social
382,3830000,Facebook,67110.76299120476,Mexico,Nesquik,Social
383,3840000,Facebook,67110.89080947777,Mexico,Nesquik,Social
384,3850000,Facebook,67111.01551005713,Mexico,Nesquik,Social
385,3860000,Facebook,67111.13716898837,Mexico,Nesquik,Social
386,3870000,Facebook,67111.2558604622,Mexico,Nesquik,Social
387,3880000,Facebook,67111.3716568597,Mexico,Nesquik,Social
388,3890000,Facebook,67111.48462879645,Mexico,Nesquik,Social
389,3900000,Facebook,67111.59484516557,Mexico,Nesquik,Social
390,3910000,Facebook,67111.70237317984,Mexico,Nesquik,Social
391,3920000,Facebook,67111.80727841253,Mexico,Nesquik,Social
392,3930000,Facebook,67111.90962483751,Mexico,Nesquik,Social
393,3940000,Facebook,67112.00947486826,Mexico,Nesquik,Social
394,3950000,Facebook,67112.10688939583,Mexico,Nesquik,Social
395,3960000,Facebook,67112.20192782607,Mexico,Nesquik,Social
396,3970000,Facebook,67112.29464811583,Mexico,Nesquik,Social
397,3980000,Facebook,67112.3851068083,Mexico,Nesquik,Social
398,3990000,Facebook,67112.47335906746,Mexico,Nesquik,Social
399,4000000,Facebook,67112.55945871178,Mexico,Nesquik,Social
400,4010000,Facebook,67112.64345824702,Mexico,Nesquik,Social
401,4020000,Facebook,67112.72540889822,Mexico,Nesquik,Social
402,4030000,Facebook,67112.80536064097,Mexico,Nesquik,Social
403,4040000,Facebook,67112.88336223185,Mexico,Nesquik,Social
404,4050000,Facebook,67112.9594612382,Mexico,Nesquik,Social
405,4060000,Facebook,67113.03370406716,Mexico,Nesquik,Social
406,4070000,Facebook,67113.10613599386,Mexico,Nesquik,Social
407,4080000,Facebook,67113.17680118914,Mexico,Nesquik,Social
408,4090000,Facebook,67113.24574274641,Mexico,Nesquik,Social
409,4100000,Facebook,67113.31300270799,Mexico,Nesquik,Social
410,4110000,Facebook,67113.37862209072,Mexico,Nesquik,Social
411,4120000,Facebook,67113.44264091093,Mexico,Nesquik,Social
412,4130000,Facebook,67113.50509820895,Mexico,Nesquik,Social
413,4140000,Facebook,67113.5660320728,Mexico,Nesquik,Social
414,4150000,Facebook,67113.62547966152,Mexico,Nesquik,Social
415,4160000,Facebook,67113.68347722774,Mexico,Nesquik,Social
416,4170000,Facebook,67113.74006013984,Mexico,Nesquik,Social
417,4180000,Facebook,67113.79526290353,Mexico,Nesquik,Social
418,4190000,Facebook,67113.84911918284,Mexico,Nesquik,Social
419,4200000,Facebook,67113.9016618207,Mexico,Nesquik,Social
420,4210000,Facebook,67113.95292285895,Mexico,Nesquik,Social
421,4220000,Facebook,67114.00293355786,Mexico,Nesquik,Social
