Scenario,Budget,LT Revenue,ST Revenue,Total Revenue,Predicted Revenue,Region,Brand
region: UK brand: Shreddies budget: 2600000,2599999.9999999288,3579500.1385106165,3869906.38112983,7449406.519640447,7479464.417868565,UK,Shreddies
region: UK brand: Shreddies budget: 2700000,2700000.0,3666285.9658094957,3961823.67325845,7628109.639067946,7665735.131536601,UK,Shreddies
region: UK brand: Shreddies budget: 2800000,2800000.0,3751416.014150248,4051519.0806758762,7802935.094826125,7846447.91975856,UK,Shreddies
region: UK brand: Shreddies budget: 2900000,2900000.0000000666,3835448.7759342687,4138594.724591591,7974043.50052586,8021768.619314153,UK,Shreddies
region: UK brand: Shreddies budget: 300000,300000.00000185234,435727.86047088244,987563.1361066542,1423290.9965775367,1192040.3494948319,UK,Shreddies
region: UK brand: Shreddies budget: 3000000,2999999.9999999986,3918506.3305518283,4223076.451817643,8141582.782369471,8191858.118762568,UK,Shreddies
region: UK brand: Shreddies budget: 3100000,3100000.0000000005,4000556.2404979626,4305136.534952966,8305692.775450928,8356872.506088224,UK,Shreddies
region: UK brand: Shreddies budget: 3200000,3200000.0000029644,4081920.692831432,4384584.075185063,8466504.768016495,8516963.211943325,UK,Shreddies
region: UK brand: Shreddies budget: 3300000,3299999.9999996074,4162693.2755243545,4461446.239078266,8624139.51460262,8672277.14858958,UK,Shreddies
region: UK brand: Shreddies budget: 3400000,3399999.9999978025,4247099.836882269,4531322.701990685,8778422.538872954,8822956.844763242,UK,Shreddies
region: UK brand: Shreddies budget: 3500000,3500000.0000006366,4330498.72207672,4598845.667378922,8929344.389455643,8969140.576435557,UK,Shreddies
region: UK brand: Shreddies budget: 3600000,3599999.99999998,4405902.848452721,4671089.860237576,9076992.708690297,9110962.493698204,UK,Shreddies
region: UK brand: Shreddies budget: 3700000,3700000.000000072,4445568.901269315,4773571.982309108,9219140.883578423,9248552.743904708,UK,Shreddies
region: UK brand: Shreddies budget: 3800000,3800000.00000033,4483570.535411974,4871363.815108565,9354934.35052054,9382037.591079043,UK,Shreddies
region: UK brand: Shreddies budget: 3900000,3900000.000000001,4523246.47387038,4961997.029934718,9485243.503805097,9511539.531792717,UK,Shreddies
region: UK brand: Shreddies budget: 400000,400000.00000220665,589050.621016917,1200551.0697088006,1789601.6907257177,1565914.543770023,UK,Shreddies
region: UK brand: Shreddies budget: 4000000,4000000.000000001,4563495.430725398,5047134.086679154,9610629.517404553,9637177.40757992,UK,Shreddies
region: UK brand: Shreddies budget: 4100000,4100000.000000005,4602642.973855421,5128707.686528762,9731350.660384182,9759066.51399237,UK,Shreddies
region: UK brand: Shreddies budget: 4200000,4199999.999998806,4640723.46518258,5206962.305249465,9847685.770432044,9877318.706404576,UK,Shreddies
region: UK brand: Shreddies budget: 4300000,4300000.0,4677797.661451077,5282094.908950925,9959892.570402002,9992042.50266801,UK,Shreddies
region: UK brand: Shreddies budget: 4400000,4399999.999999999,4714007.853021925,5354196.997586403,10068204.850608328,10103343.18268196,UK,Shreddies
region: UK brand: Shreddies budget: 4500000,4500000.0,4749135.289261745,5423720.9176564235,10172856.206918169,10211322.885020893,UK,Shreddies
region: UK brand: Shreddies budget: 4600000,4599999.999993992,4783425.615645443,5490611.412859951,10274037.028505394,10316080.70065197,UK,Shreddies
region: UK brand: Shreddies budget: 4700000,4699999.999991012,4817609.15461563,5554511.080796335,10372120.235411964,10417712.76389238,UK,Shreddies
region: UK brand: Shreddies budget: 4800000,4800000.0,4851410.95445932,5616156.600341757,10467567.554801077,10516312.340613019,UK,Shreddies
region: UK brand: Shreddies budget: 4900000,4900000.000000001,4884706.639454019,5675816.741795687,10560523.381249707,10611969.91379886,UK,Shreddies
region: UK brand: Shreddies budget: 500000,499999.9999999999,748330.3032160088,1385835.2784329532,2134165.581648962,1928633.120188075,UK,Shreddies
region: UK brand: Shreddies budget: 5000000,4999999.9999997,4917676.472850521,5733708.071010569,10651384.543861091,10704773.266642222,UK,Shreddies
region: UK brand: Shreddies budget: 5100000,5099999.999998415,4950169.087993021,5790152.587295618,10740321.67528864,10794807.56306098,UK,Shreddies
region: UK brand: Shreddies budget: 5200000,5200000.0,4982254.313287294,5845150.414375408,10827404.727662701,10882155.42586517,UK,Shreddies
region: UK brand: Shreddies budget: 5300000,5299999.99999984,5014903.613131994,5897722.84672102,10912626.459853014,10966897.01256697,UK,Shreddies
region: UK brand: Shreddies budget: 5400000,5399999.999998363,5047710.200800418,5948171.189093513,10995881.38989393,11049110.08895181,UK,Shreddies
region: UK brand: Shreddies budget: 5500000,5499999.999999999,5079949.349803935,5997285.351371695,11077234.70117563,11128870.100441104,UK,Shreddies
region: UK brand: Shreddies budget: 5600000,5600000.00000096,5112320.729513556,6044421.48179052,11156742.211304076,11206250.241317358,UK,Shreddies
region: UK brand: Shreddies budget: 5700000,5700000.000007501,5144417.657723961,6090026.751747896,11234444.409471858,11281321.521907669,UK,Shreddies
region: UK brand: Shreddies budget: 5800000,5799999.999997249,5175922.550503289,6134452.025450411,11310374.5759537,11354152.833719704,UK,Shreddies
region: UK brand: Shreddies budget: 5900000,5900000.0000038985,5206881.258370489,6177710.877774196,11384592.136144685,11424811.012724228,UK,Shreddies
region: UK brand: Shreddies budget: 600000,600000.0000005411,912987.5112782841,1553931.529501104,2466919.040779388,2280528.9388892744,UK,Shreddies
region: UK brand: Shreddies budget: 6000000,5999999.999999873,5237496.851619129,6219653.083474025,11457149.935093153,11493360.900604032,UK,Shreddies
region: UK brand: Shreddies budget: 6100000,6100000.000001343,5267869.720288882,6260251.105382979,11528120.825671861,11559865.404333124,UK,Shreddies
